"id";"customer";"has_children";"has_hitas_ownership";"is_right_of_occupancy_housing_changer";"right_of_residence";"submitted_late";"Type"
86;11;"Yes";"No";"No";;"No";"hitas"
87;71;"Yes";"No";"No";;"No";"hitas"
88;17;"Yes";"No";"No";;"No";"hitas"
89;46;"Yes";"No";"No";;"No";"hitas"
90;27;"Yes";"No";"No";;"No";"hitas"
91;29;"No";"No";"No";;"No";"hitas"
92;47;"Yes";"No";"No";;"No";"hitas"
93;33;"No";"No";"No";;"No";"hitas"
94;64;"Yes";"No";"No";;"No";"hitas"
96;155;"Yes";"No";"No";;"No";"hitas"
97;170;"No";"No";"No";;"No";"hitas"
98;186;"No";"No";"No";;"No";"hitas"
99;127;"No";"No";"No";;"No";"hitas"
100;199;"Yes";"No";"No";;"No";"hitas"
101;201;"No";"No";"No";;"No";"hitas"
102;162;"Yes";"No";"No";;"No";"hitas"
103;203;"No";"No";"No";;"No";"hitas"
104;15;"Yes";"No";"No";;"No";"hitas"
105;131;"No";"No";"No";;"No";"hitas"
106;152;"No";"No";"No";;"No";"hitas"
107;167;"Yes";"No";"No";;"No";"hitas"
108;174;"No";"No";"No";;"No";"hitas"
109;184;"No";"No";"No";;"No";"hitas"
110;189;"No";"No";"No";;"No";"hitas"
111;157;"Yes";"No";"No";;"No";"hitas"
112;129;"Yes";"No";"No";;"No";"hitas"
113;62;"No";"No";"No";;"No";"hitas"
114;187;"Yes";"No";"No";;"No";"hitas"
115;124;"No";"No";"No";;"No";"hitas"
116;177;"No";"No";"No";;"No";"hitas"
117;123;"No";"No";"No";;"No";"hitas"
118;195;"Yes";"No";"No";;"No";"hitas"
119;169;"Yes";"No";"No";;"No";"hitas"
120;138;"Yes";"No";"No";;"No";"hitas"
121;197;"Yes";"No";"No";;"No";"hitas"
122;156;"Yes";"No";"No";;"No";"hitas"
123;137;"No";"No";"No";;"No";"hitas"
124;154;"Yes";"No";"No";;"No";"hitas"
125;180;"Yes";"No";"No";;"No";"hitas"
126;121;"No";"No";"No";;"No";"hitas"
127;147;"Yes";"No";"No";;"No";"hitas"
128;159;"No";"No";"No";;"No";"hitas"
129;106;"No";"No";"No";;"No";"hitas"
130;139;"Yes";"No";"No";;"No";"hitas"
131;183;"No";"No";"No";;"No";"hitas"
132;69;"No";"No";"No";;"No";"hitas"
133;204;"Yes";"No";"No";;"No";"hitas"
134;153;"Yes";"No";"No";;"No";"hitas"
135;105;"No";"No";"No";;"No";"hitas"
136;200;"Yes";"Yes";"No";;"No";"hitas"
137;134;"No";"No";"No";;"No";"hitas"
138;72;"No";"No";"No";;"No";"hitas"
139;115;"No";"No";"No";;"No";"hitas"
140;128;"Yes";"No";"No";;"No";"hitas"
141;194;"Yes";"No";"No";;"No";"hitas"
142;60;"No";"No";"No";;"No";"hitas"
143;119;"No";"No";"No";;"No";"hitas"
144;120;"Yes";"No";"No";;"No";"hitas"
145;133;"No";"No";"No";;"No";"hitas"
146;161;"No";"No";"No";;"No";"hitas"
147;164;"No";"No";"No";;"No";"hitas"
148;198;"No";"No";"No";;"No";"hitas"
149;135;"Yes";"No";"No";;"No";"hitas"
150;166;"Yes";"No";"No";;"No";"hitas"
151;172;"No";"No";"No";;"No";"hitas"
152;108;"No";"No";"No";;"No";"hitas"
153;89;"No";"No";"No";;"No";"hitas"
154;107;"No";"No";"No";;"No";"hitas"
155;70;"No";"No";"No";;"No";"hitas"
156;116;"No";"No";"No";;"No";"hitas"
157;117;"Yes";"No";"No";;"No";"hitas"
158;9;"No";"No";"No";;"No";"hitas"
159;79;"Yes";"No";"No";;"No";"hitas"
160;136;"No";"No";"No";;"No";"hitas"
161;178;"Yes";"No";"No";;"No";"hitas"
162;142;"Yes";"No";"No";;"No";"hitas"
163;36;"Yes";"No";"No";;"No";"hitas"
164;113;"No";"No";"No";;"No";"hitas"
165;144;"Yes";"No";"No";;"No";"hitas"
166;122;"No";"No";"No";;"No";"hitas"
167;193;"Yes";"No";"No";;"No";"hitas"
168;179;"No";"No";"No";;"No";"hitas"
169;130;"No";"No";"No";;"No";"hitas"
170;181;"Yes";"No";"No";;"No";"hitas"
171;171;"No";"No";"No";;"No";"hitas"
172;140;"Yes";"No";"No";;"No";"hitas"
173;151;"Yes";"No";"No";;"No";"hitas"
174;150;"No";"No";"No";;"No";"hitas"
175;192;"No";"No";"No";;"No";"hitas"
176;110;"Yes";"No";"No";;"No";"hitas"
177;132;"Yes";"No";"No";;"No";"hitas"
178;112;"No";"No";"No";;"No";"hitas"
179;158;"No";"No";"No";;"No";"hitas"
180;175;"Yes";"No";"No";;"No";"hitas"
181;126;"No";"No";"No";;"No";"hitas"
1000067;170;"No";"No";"No";210275;"No";"haso"
1000068;127;"No";"No";"No";215632;"No";"haso"
1000069;199;"No";"No";"No";1256984;"No";"haso"
1000070;201;"No";"No";"No";2075692;"No";"haso"
1000071;162;"No";"No";"No";855697;"No";"haso"
1000072;203;"No";"No";"No";1985563;"No";"haso"
1000073;131;"No";"No";"No";1780052;"No";"haso"
1000074;195;"No";"No";"No";1633214;"No";"haso"
1000075;169;"No";"No";"No";1889956;"No";"haso"
1000076;138;"No";"No";"No";1201556;"No";"haso"
1000077;197;"No";"No";"No";1488956;"No";"haso"
1000078;124;"No";"No";"No";1674223;"No";"haso"
1000079;177;"No";"No";"No";2259984;"No";"haso"
1000080;123;"No";"No";"No";584562;"No";"haso"
1000081;121;"No";"No";"No";986657;"No";"haso"
1000082;183;"No";"No";"No";2133214;"No";"haso"
