"id";"application";"apartment_uuid";"priority_number"
214;86;745;1
215;87;746;1
216;88;745;1
217;89;746;1
218;90;746;1
219;91;746;1
220;92;746;1
221;93;745;1
222;94;745;1
225;96;754;1
226;97;745;1
227;98;762;1
228;99;767;1
229;100;757;1
230;101;756;1
231;102;752;1
232;103;754;1
233;104;759;1
234;105;759;1
235;106;756;1
236;107;761;1
237;108;758;1
238;109;756;1
239;110;764;1
240;111;762;1
241;112;752;1
242;113;760;1
243;114;757;1
244;115;767;1
245;116;756;1
246;117;754;1
247;118;759;1
248;119;762;1
249;120;768;1
250;121;761;1
251;122;759;1
252;123;762;1
253;124;745;1
254;125;763;1
255;126;753;1
256;127;759;1
257;128;766;1
258;129;765;1
259;130;746;1
260;131;755;1
261;132;764;1
262;133;763;1
263;134;768;1
264;135;757;1
265;136;758;1
266;137;766;1
267;138;767;1
268;139;755;1
269;140;747;1
270;141;748;1
271;142;765;1
272;143;765;1
273;144;768;1
274;145;753;1
275;146;753;1
276;147;753;1
277;148;746;1
278;149;763;1
279;150;751;1
280;151;751;1
281;152;764;1
282;153;767;1
283;154;766;1
284;155;747;1
285;156;765;1
286;157;747;1
287;158;749;1
288;159;760;1
289;160;751;1
290;161;750;1
291;162;747;1
292;163;748;1
293;164;766;1
294;165;749;1
295;166;767;1
296;167;761;1
297;168;753;1
298;169;753;1
299;170;750;1
300;171;755;1
301;172;748;1
302;173;750;1
303;174;749;1
304;175;767;1
305;176;760;1
306;177;760;1
307;178;758;1
308;179;758;1
309;180;752;1
310;181;767;1
1000243;1000067;826;1
1000244;1000067;827;2
1000245;1000067;828;3
1000246;1000068;825;1
1000247;1000068;829;2
1000248;1000069;828;1
1000249;1000069;829;2
1000250;1000069;825;3
1000251;1000070;825;1
1000252;1000070;829;2
1000253;1000070;828;3
1000254;1000070;826;4
1000255;1000071;826;1
1000256;1000071;828;2
1000257;1000071;825;3
1000258;1000072;825;1
1000259;1000072;829;2
1000260;1000073;826;1
1000261;1000073;827;2
1000262;1000073;828;3
1000263;1000074;825;1
1000264;1000074;829;2
1000265;1000075;826;1
1000266;1000075;827;2
1000267;1000076;829;1
1000268;1000077;827;1
1000269;1000077;828;2
1000270;1000077;829;3
1000271;1000078;826;1
1000272;1000078;827;2
1000273;1000079;829;1
1000274;1000079;825;2
1000275;1000080;825;1
1000276;1000080;829;2
1000277;1000081;825;1
1000278;1000081;829;2
1000279;1000082;829;1
1000280;1000082;825;2
