id,application_apartment,customer,apartment_uuid,queue_position,state
214,214,11,745,,SOLD
215,215,71,746,,SOLD
216,216,17,745,,SOLD
217,217,46,746,,SOLD
218,218,27,746,,SOLD
219,219,29,746,,SOLD
220,220,47,746,1,SOLD
221,221,33,745,,SOLD
222,222,64,745,1,SOLD
225,225,155,754,1,SOLD
226,226,170,745,,SOLD
227,227,186,762,1,RESERVATION_AGREEMENT
228,228,127,767,,SOLD
229,229,199,757,,RESERVATION_AGREEMENT
230,230,201,756,,SOLD
231,231,162,752,,RESERVATION_AGREEMENT
232,232,203,754,,SOLD
233,233,15,759,,RESERVATION_AGREEMENT
234,234,131,759,,RESERVATION_AGREEMENT
235,235,152,756,1,SOLD
236,236,167,761,,RESERVATION_AGREEMENT
237,237,174,758,,RESERVATION_AGREEMENT
238,238,184,756,,SOLD
239,239,189,764,1,RESERVATION_AGREEMENT
240,240,157,762,,RESERVATION_AGREEMENT
241,241,129,752,,RESERVATION_AGREEMENT
242,242,62,760,1,RESERVATION_AGREEMENT
243,243,187,757,1,RESERVATION_AGREEMENT
244,244,124,767,,SOLD
245,245,177,756,,SOLD
246,246,123,754,,SOLD
247,247,195,759,,RESERVATION_AGREEMENT
248,248,169,762,,RESERVATION_AGREEMENT
249,249,138,768,,RESERVATION_AGREEMENT
250,250,197,761,,RESERVATION_AGREEMENT
251,251,156,759,1,RESERVATION_AGREEMENT
252,252,137,762,,RESERVATION_AGREEMENT
253,253,154,745,,SOLD
254,254,180,763,,SUBMITTED
255,255,121,753,,SOLD
256,256,147,759,,RESERVATION_AGREEMENT
257,257,159,766,1,RESERVATION_AGREEMENT
258,258,106,765,,RESERVATION_AGREEMENT
259,259,139,746,,SOLD
260,260,183,755,,SOLD
261,261,69,764,,RESERVATION_AGREEMENT
262,262,204,763,,SUBMITTED
263,263,153,768,,RESERVATION_AGREEMENT
264,264,105,757,,RESERVATION_AGREEMENT
265,265,200,758,,RESERVATION_AGREEMENT
266,266,134,766,,RESERVATION_AGREEMENT
267,267,72,767,1,SOLD
268,268,115,755,1,SOLD
269,269,128,747,,SOLD
270,270,194,748,1,RESERVATION_AGREEMENT
271,271,60,765,1,RESERVATION_AGREEMENT
272,272,119,765,,RESERVATION_AGREEMENT
273,273,120,768,1,RESERVATION_AGREEMENT
274,274,133,753,,SOLD
275,275,161,753,,SOLD
276,276,164,753,,SOLD
277,277,198,746,,SOLD
278,278,135,763,,SUBMITTED
279,279,166,751,,RESERVATION_AGREEMENT
280,280,172,751,,RESERVATION_AGREEMENT
281,281,108,764,,RESERVATION_AGREEMENT
282,282,89,767,,SOLD
283,283,107,766,,RESERVATION_AGREEMENT
284,284,70,747,,SOLD
285,285,116,765,,RESERVATION_AGREEMENT
286,286,117,747,1,SOLD
287,287,9,749,,SOLD
288,288,79,760,,RESERVATION_AGREEMENT
289,289,136,751,1,RESERVATION_AGREEMENT
290,290,178,750,,RESERVATION_AGREEMENT
291,291,142,747,,SOLD
292,292,36,748,,RESERVATION_AGREEMENT
293,293,113,766,,RESERVATION_AGREEMENT
294,294,144,749,1,SOLD
295,295,122,767,,SOLD
296,296,193,761,1,RESERVATION_AGREEMENT
297,297,179,753,,SOLD
298,298,130,753,1,SOLD
299,299,181,750,1,RESERVATION_AGREEMENT
300,300,171,755,,SOLD
301,301,140,748,,RESERVATION_AGREEMENT
302,302,151,750,,RESERVATION_AGREEMENT
303,303,150,749,,SOLD
304,304,192,767,,SOLD
305,305,110,760,,RESERVATION_AGREEMENT
306,306,132,760,,RESERVATION_AGREEMENT
307,307,112,758,,RESERVATION_AGREEMENT
308,308,158,758,1,RESERVATION_AGREEMENT
309,309,175,752,1,RESERVATION_AGREEMENT
