id,application_apartment,event,result_position
2202,214,36,1
2202,216,36,1
2202,221,36,1
2202,222,36,1
2202,226,36,1
2202,253,36,1
2203,214,36,2
2203,216,36,2
2203,221,36,2
2203,222,36,2
2203,226,36,2
2203,253,36,2
2204,214,36,3
2204,216,36,3
2204,221,36,3
2204,222,36,3
2204,226,36,3
2204,253,36,3
2205,214,36,4
2205,216,36,4
2205,221,36,4
2205,222,36,4
2205,226,36,4
2205,253,36,4
2206,214,36,5
2206,216,36,5
2206,221,36,5
2206,222,36,5
2206,226,36,5
2206,253,36,5
2207,214,36,6
2207,216,36,6
2207,221,36,6
2207,222,36,6
2207,226,36,6
2207,253,36,6
2208,215,36,1
2208,217,36,1
2208,218,36,1
2208,219,36,1
2208,220,36,1
2208,259,36,1
2208,277,36,1
2209,215,36,2
2209,217,36,2
2209,218,36,2
2209,219,36,2
2209,220,36,2
2209,259,36,2
2209,277,36,2
2210,215,36,3
2210,217,36,3
2210,218,36,3
2210,219,36,3
2210,220,36,3
2210,259,36,3
2210,277,36,3
2211,215,36,4
2211,217,36,4
2211,218,36,4
2211,219,36,4
2211,220,36,4
2211,259,36,4
2211,277,36,4
2212,215,36,5
2212,217,36,5
2212,218,36,5
2212,219,36,5
2212,220,36,5
2212,259,36,5
2212,277,36,5
2213,215,36,6
2213,217,36,6
2213,218,36,6
2213,219,36,6
2213,220,36,6
2213,259,36,6
2213,277,36,6
2214,215,36,7
2214,217,36,7
2214,218,36,7
2214,219,36,7
2214,220,36,7
2214,259,36,7
2214,277,36,7
2215,269,36,1
2215,284,36,1
2215,286,36,1
2215,291,36,1
2216,269,36,2
2216,284,36,2
2216,286,36,2
2216,291,36,2
2217,269,36,3
2217,284,36,3
2217,286,36,3
2217,291,36,3
2218,269,36,4
2218,284,36,4
2218,286,36,4
2218,291,36,4
2219,270,36,1
2219,292,36,1
2219,301,36,1
2220,270,36,2
2220,292,36,2
2220,301,36,2
2221,270,36,3
2221,292,36,3
2221,301,36,3
2222,287,36,1
2222,294,36,1
2222,303,36,1
2223,287,36,2
2223,294,36,2
2223,303,36,2
2224,287,36,3
2224,294,36,3
2224,303,36,3
2225,290,36,1
2225,299,36,1
2225,302,36,1
2226,290,36,2
2226,299,36,2
2226,302,36,2
2227,290,36,3
2227,299,36,3
2227,302,36,3
2228,279,36,1
2228,280,36,1
2228,289,36,1
2229,279,36,2
2229,280,36,2
2229,289,36,2
2230,279,36,3
2230,280,36,3
2230,289,36,3
2231,231,36,1
2231,241,36,1
2231,309,36,1
2232,231,36,2
2232,241,36,2
2232,309,36,2
2233,231,36,3
2233,241,36,3
2233,309,36,3
2234,255,36,1
2234,274,36,1
2234,275,36,1
2234,276,36,1
2234,297,36,1
2234,298,36,1
2235,255,36,2
2235,274,36,2
2235,275,36,2
2235,276,36,2
2235,297,36,2
2235,298,36,2
2236,255,36,3
2236,274,36,3
2236,275,36,3
2236,276,36,3
2236,297,36,3
2236,298,36,3
2237,255,36,4
2237,274,36,4
2237,275,36,4
2237,276,36,4
2237,297,36,4
2237,298,36,4
2238,255,36,5
2238,274,36,5
2238,275,36,5
2238,276,36,5
2238,297,36,5
2238,298,36,5
2239,255,36,6
2239,274,36,6
2239,275,36,6
2239,276,36,6
2239,297,36,6
2239,298,36,6
2240,225,36,1
2240,232,36,1
2240,246,36,1
2241,225,36,2
