id;customer;has_children;has_hitas_ownership;is_right_of_occupancy_housing_changer;right_of_residence;submitted_late;Type
86;11;-1;0;0;;0;hitas
87;71;-1;0;0;;0;hitas
88;17;-1;0;0;;0;hitas
89;46;-1;0;0;;0;hitas
90;27;-1;0;0;;0;hitas
91;29;0;0;0;;0;hitas
92;47;-1;0;0;;0;hitas
93;33;0;0;0;;0;hitas
94;64;-1;0;0;;0;hitas
96;155;-1;0;0;;0;hitas
97;170;0;0;0;;0;hitas
98;186;0;0;0;;0;hitas
99;127;0;0;0;;0;hitas
100;199;-1;0;0;;0;hitas
101;201;0;0;0;;0;hitas
102;162;-1;0;0;;0;hitas
103;203;0;0;0;;0;hitas
104;15;-1;0;0;;0;hitas
105;131;0;0;0;;0;hitas
106;152;0;0;0;;0;hitas
107;167;-1;0;0;;0;hitas
108;174;0;0;0;;0;hitas
109;184;0;0;0;;0;hitas
110;189;0;0;0;;0;hitas
111;157;-1;0;0;;0;hitas
112;129;-1;0;0;;0;hitas
113;62;0;0;0;;0;hitas
114;187;-1;0;0;;0;hitas
115;124;0;0;0;;0;hitas
116;177;0;0;0;;0;hitas
117;123;0;0;0;;0;hitas
118;195;-1;0;0;;0;hitas
119;169;-1;0;0;;0;hitas
120;138;-1;0;0;;0;hitas
121;197;-1;0;0;;0;hitas
122;156;-1;0;0;;0;hitas
123;137;0;0;0;;0;hitas
124;154;-1;0;0;;0;hitas
125;180;-1;0;0;;0;hitas
126;121;0;0;0;;0;hitas
127;147;-1;0;0;;0;hitas
128;159;0;0;0;;0;hitas
129;106;0;0;0;;0;hitas
130;139;-1;0;0;;0;hitas
131;183;0;0;0;;0;hitas
132;69;0;0;0;;0;hitas
133;204;-1;0;0;;0;hitas
134;153;-1;0;0;;0;hitas
135;105;0;0;0;;0;hitas
136;200;-1;-1;0;;0;hitas
137;134;0;0;0;;0;hitas
138;72;0;0;0;;0;hitas
139;115;0;0;0;;0;hitas
140;128;-1;0;0;;0;hitas
141;194;-1;0;0;;0;hitas
142;60;0;0;0;;0;hitas
143;119;0;0;0;;0;hitas
144;120;-1;0;0;;0;hitas
145;133;0;0;0;;0;hitas
146;161;0;0;0;;0;hitas
147;164;0;0;0;;0;hitas
148;198;0;0;0;;0;hitas
149;135;-1;0;0;;0;hitas
150;166;-1;0;0;;0;hitas
151;172;0;0;0;;0;hitas
152;108;0;0;0;;0;hitas
153;89;0;0;0;;0;hitas
154;107;0;0;0;;0;hitas
155;70;0;0;0;;0;hitas
156;116;0;0;0;;0;hitas
157;117;-1;0;0;;0;hitas
158;9;0;0;0;;0;hitas
159;79;-1;0;0;;0;hitas
160;136;0;0;0;;0;hitas
161;178;-1;0;0;;0;hitas
162;142;-1;0;0;;0;hitas
163;36;-1;0;0;;0;hitas
164;113;0;0;0;;0;hitas
165;144;-1;0;0;;0;hitas
166;122;0;0;0;;0;hitas
167;193;-1;0;0;;0;hitas
168;179;0;0;0;;0;hitas
169;130;0;0;0;;0;hitas
170;181;-1;0;0;;0;hitas
171;171;0;0;0;;0;hitas
172;140;-1;0;0;;0;hitas
173;151;-1;0;0;;0;hitas
174;150;0;0;0;;0;hitas
175;192;0;0;0;;0;hitas
176;110;-1;0;0;;0;hitas
177;132;-1;0;0;;0;hitas
178;112;0;0;0;;0;hitas
179;158;0;0;0;;0;hitas
180;175;-1;0;0;;0;hitas
181;126;0;0;0;;0;hitas
1000045;155;0;0;0;;0;haso
1000046;170;0;0;0;210275;0;haso
1000047;127;0;0;0;215632;0;haso
1000048;199;0;0;0;1256984;0;haso
1000049;201;0;0;0;2075692;0;haso
1000050;131;0;0;0;1780052;0;haso
1000051;162;0;0;0;855697;0;haso
1000052;203;0;0;0;1985563;0;haso
1000053;167;0;0;0;1354889;0;haso
1000054;174;0;0;0;2137785;0;haso
1000055;124;0;0;0;1674223;0;haso
1000056;129;0;0;0;1996552;0;haso
1000057;177;0;0;0;2259984;0;haso
1000058;157;0;0;0;1288954;0;haso
1000059;123;0;0;0;584562;0;haso
1000060;121;0;0;0;986657;0;haso
1000061;195;0;0;0;1633214;0;haso
1000062;197;0;0;0;1488956;0;haso
1000063;183;0;0;0;2133214;0;haso
1000064;106;0;0;0;1995993;0;haso
1000065;169;0;0;0;1889956;0;haso
1000066;138;0;0;0;1201556;0;haso
