id;application_apartment;event;result_position
2202;214;745;1
2203;216;745;2
2204;222;745;3
2205;253;745;4
2206;226;745;5
2207;221;745;6
2208;217;746;1
2209;220;746;2
2210;218;746;3
2211;215;746;4
2212;259;746;5
2213;219;746;6
2214;277;746;7
2215;286;747;1
2216;291;747;2
2217;269;747;3
2218;284;747;4
2219;292;748;1
2220;301;748;2
2221;270;748;3
2222;294;749;1
2223;287;749;2
2224;303;749;3
2225;302;750;1
2226;299;750;2
2227;290;750;3
2228;279;751;1
2229;280;751;2
2230;289;751;3
2231;231;752;1
2232;309;752;2
2233;241;752;3
2234;297;753;1
2235;276;753;2
2236;274;753;3
2237;298;753;4
2238;275;753;5
2239;255;753;6
2240;225;754;1
2241;246;754;2
2242;232;754;3
2243;260;755;1
2244;268;755;2
2245;300;755;3
2246;235;756;1
2247;245;756;2
2248;238;756;3
2249;230;756;4
2250;243;757;1
2251;229;757;2
2252;264;757;3
2253;265;758;1
2254;308;758;2
2255;237;758;3
2256;307;758;4
2257;251;759;1
2258;256;759;2
2259;247;759;3
2260;233;759;4
2261;234;759;5
2262;305;760;1
2263;288;760;2
2264;306;760;3
2265;242;760;4
2266;296;761;1
2267;250;761;2
2268;236;761;3
2269;248;762;1
2270;240;762;2
2271;227;762;3
2272;252;762;4
2273;278;763;1
2274;254;763;2
2275;262;763;3
2276;281;764;1
2277;239;764;2
2278;261;764;3
2279;285;765;1
2280;271;765;2
2281;258;765;3
2282;272;765;4
2283;257;766;1
2284;266;766;2
2285;283;766;3
2286;293;766;4
2287;295;767;1
2288;244;767;2
2289;228;767;3
2290;304;767;4
2291;267;767;5
2292;282;767;6
2293;310;767;7
2294;273;768;1
2295;263;768;2
2296;249;768;3
