id,queue_position,state,apartment_uuid,application_apartment_id
80,210275,ACCEPTED_BY_MUNICIPALITY,284,80
1000285,215632,OFFERED,285,
81,1256984,SOLD,286,81
82,2075692,SOLD,287,82
83,1780052,SOLD,288,83
84,855697,SOLD,289,84
85,1985563,OFFER ACCEPTED,290,85
86,1354889,OFFER ACCEPTED,291,86
87,2137785,SOLD,292,87
88,1674223,SOLD,293,88
89,1996552,SOLD,294,89
90,2259984,OFFER ACCEPTED,295,90
91,1288954,OFFER ACCEPTED,296,91
1000297,,SUBMITTED,297,
93,584562,OFFER ACCEPTED,298,93
94,986657,OFFER ACCEPTED,299,94
95,1633214,OFFER ACCEPTED,300,95
96,1488956,OFFER ACCEPTED,301,96
97,2133214,OFFER ACCEPTED,302,97
98,1995993,OFFER ACCEPTED,303,98
99,1889956,OFFER ACCEPTED,304,99
1000305,,SUBMITTED,305,
101,1201556,OFFER ACCEPTED,306,101
1000307,,SUBMITTED,307,
56,3,SOLD,745,56
57,2,SOLD,746,57
58,1,SOLD,747,58
59,3,RESERVATION_AGREEMENT,748,59
60,1,SOLD,749,60
61,2,RESERVATION_AGREEMENT,750,61
62,3,RESERVATION_AGREEMENT,751,62
63,2,RESERVATION_AGREEMENT,752,63
64,4,SOLD,753,64
65,1,SOLD,754,65
66,2,SOLD,755,66
67,1,SOLD,756,67
68,1,RESERVATION_AGREEMENT,757,68
69,2,RESERVATION_AGREEMENT,758,69
70,1,RESERVATION_AGREEMENT,759,70
71,4,RESERVATION_AGREEMENT,760,71
72,1,RESERVATION_AGREEMENT,761,72
73,3,RESERVATION_AGREEMENT,762,73
1000763,,SUBMITTED,763,
75,2,RESERVATION_AGREEMENT,764,75
76,2,RESERVATION_AGREEMENT,765,76
77,1,RESERVATION_AGREEMENT,766,77
78,5,SOLD,767,78
79,1,RESERVATION_AGREEMENT,768,79
