id,additional_information,last_contact_date,primary_profile_id,secondary_profile_id,has_children,has_hitas_ownership,is_age_over_55,is_right_of_occupancy_housing_changer,right_of_residence
47,,5.4.2022,47,1000047,yes,no,no,no,40021
60,,5.4.2022,60,,no,no,no,no,
62,,5.4.2022,62,1000062,no,no,no,no,
64,,5.4.2022,64,1000064,yes,no,no,yes,999999
72,,5.4.2022,72,,no,no,no,no,
106,,5.4.2022,106,,no,no,yes,no,1995993
115,,,115,,no,no,no,no,
117,,,117,1000117,yes,no,no,no,
120,,,120,1000120,yes,no,no,no,
121,,5.4.2022,121,,no,no,yes,no,986657
123,,5.4.2022,123,,no,no,yes,no,584562
124,,5.4.2022,124,,no,no,yes,no,1674223
127,,5.4.2022,127,,no,no,yes,yes,215632
129,,5.4.2022,129,1000129,yes,no,yes,no,1996552
130,,,130,,no,no,no,no,
131,,5.4.2022,131,1000131,no,no,yes,no,1780052
136,,,136,,no,no,no,no,
138,,5.4.2022,138,1000138,yes,no,yes,yes,1201556
144,,,144,1000144,yes,no,no,no,
152,,,152,,no,no,no,no,
155,,,155,,yes,no,no,no,
156,,,156,1000156,yes,no,no,no,
157,,5.4.2022,157,1000157,yes,no,yes,no,1288954
158,,,158,,no,no,no,no,
159,,,159,,no,no,no,no,
162,,5.4.2022,162,1000162,yes,no,yes,no,855697
167,,5.4.2022,167,1000167,yes,no,yes,no,1354889
169,,5.4.2022,169,1000169,yes,no,yes,no,1889956
170,,5.4.2022,170,1000170,no,no,yes,no,210275
174,,5.4.2022,174,1000174,no,no,yes,no,2137785
175,,,175,1000175,yes,no,no,no,
177,,5.4.2022,177,,no,no,yes,no,2259984
181,,,181,1000181,yes,no,no,no,
183,,5.4.2022,183,,no,no,yes,no,2133214
186,,,186,1000186,no,no,no,no,
187,,,187,1000187,yes,no,no,no,
189,,,189,,no,no,no,no,
193,,,193,1000193,yes,no,no,no,
194,,,194,1000194,yes,no,no,no,
195,,5.4.2022,195,1000195,yes,no,no,yes,1633214
197,,5.4.2022,197,1000197,yes,no,yes,no,1488956
199,,5.4.2022,199,1000199,yes,no,yes,no,1256984
201,,5.4.2022,201,,no,no,yes,no,2075692
203,,5.4.2022,203,,no,no,yes,no,1985563
